Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
41,A/A*,h4,2,13,0.0059967041015625
41,A/A*,h5,2,3,0.0009846687316894531
42,UCS,N/A,N/A,2000,0.8817987442016602
42,GBFS,h1,N/A,1096,0.49364709854125977
42,GBFS,h2,N/A,1096,0.4866678714752197
42,GBFS,h3,N/A,1096,0.4998300075531006
42,GBFS,h4,N/A,1096,0.5185096263885498
42,GBFS,h5,N/A,1096,0.49157190322875977
42,A/A*,h1,N/A,2000,0.9466819763183594
42,A/A*,h2,N/A,2000,0.9837007522583008
42,A/A*,h3,N/A,2000,1.000678300857544
42,A/A*,h4,N/A,2000,0.9564352035522461
42,A/A*,h5,N/A,2000,1.0329458713531494
43,UCS,N/A,6,447,0.18103790283203125
43,GBFS,h1,6,42,0.016922473907470703
43,GBFS,h2,6,42,0.010406017303466797
43,GBFS,h3,6,42,0.02138805389404297
43,GBFS,h4,6,45,0.01696014404296875
43,GBFS,h5,6,20,0.008992433547973633
43,A/A*,h1,6,125,0.05261421203613281
43,A/A*,h2,6,61,0.024440765380859375
43,A/A*,h3,6,44,0.01796698570251465
43,A/A*,h4,6,293,0.1273493766784668
43,A/A*,h5,6,61,0.02493000030517578
44,UCS,N/A,N/A,1832,12.534666061401367
44,GBFS,h1,N/A,940,0.39107561111450195
44,GBFS,h2,N/A,940,0.3869743347167969
44,GBFS,h3,N/A,940,0.3919508457183838
44,GBFS,h4,N/A,940,0.3859677314758301
44,GBFS,h5,N/A,940,0.3919546604156494
44,A/A*,h1,N/A,1832,0.8729941844940186
44,A/A*,h2,N/A,1832,0.8797636032104492
44,A/A*,h3,N/A,1844,0.9258148670196533
44,A/A*,h4,N/A,1800,0.8507201671600342
44,A/A*,h5,N/A,1800,0.9254963397979736
45,UCS,N/A,N/A,36,0.010985612869262695
45,GBFS,h1,N/A,30,0.01393580436706543
45,GBFS,h2,N/A,30,0.012964487075805664
45,GBFS,h3,N/A,30,0.02094411849975586
45,GBFS,h4,N/A,30,0.011995553970336914
45,GBFS,h5,N/A,30,0.009975433349609375
45,A/A*,h1,N/A,36,0.011997699737548828
45,A/A*,h2,N/A,36,0.011968374252319336
45,A/A*,h3,N/A,36,0.011967897415161133
45,A/A*,h4,N/A,36,0.014605045318603516
45,A/A*,h5,N/A,36,0.01296544075012207
46,UCS,N/A,4,19,0.004986763000488281
46,GBFS,h1,4,9,0.001990079879760742
46,GBFS,h2,4,9,0.003988742828369141
46,GBFS,h3,4,9,0.0019969940185546875
46,GBFS,h4,4,14,0.003989458084106445
46,GBFS,h5,4,9,0.0019948482513427734
46,A/A*,h1,4,16,0.005953311920166016
46,A/A*,h2,4,16,0.0050165653228759766
46,A/A*,h3,4,11,0.0039920806884765625
46,A/A*,h4,4,16,0.004984378814697266
46,A/A*,h5,4,11,0.002995729446411133
47,UCS,N/A,6,390,0.17503976821899414
47,GBFS,h1,7,10,0.003988981246948242
47,GBFS,h2,7,10,0.004954814910888672
47,GBFS,h3,7,10,0.002991914749145508
47,GBFS,h4,8,30,0.012965679168701172
47,GBFS,h5,8,11,0.003988981246948242
47,A/A*,h1,6,129,0.06299138069152832
47,A/A*,h2,6,129,0.058840036392211914
47,A/A*,h3,6,13,0.0038814544677734375
47,A/A*,h4,6,275,0.1502690315246582
47,A/A*,h5,6,48,0.022969484329223633
48,UCS,N/A,1,2,0.0
48,GBFS,h1,1,2,0.000997304916381836
48,GBFS,h2,1,2,0.0
48,GBFS,h3,1,2,0.0009665489196777344
48,GBFS,h4,1,2,0.001001596450805664
48,GBFS,h5,1,2,0.0
48,A/A*,h1,1,2,0.0009932518005371094
48,A/A*,h2,1,2,0.0
48,A/A*,h3,1,2,0.0010275840759277344
48,A/A*,h4,1,2,0.0
48,A/A*,h5,1,2,0.0009942054748535156
49,UCS,N/A,2,49,0.020775556564331055
49,GBFS,h1,2,3,0.0
49,GBFS,h2,2,3,0.0
49,GBFS,h3,2,3,0.0
49,GBFS,h4,2,7,0.009321212768554688
49,GBFS,h5,2,3,0.000997304916381836
49,A/A*,h1,2,12,0.004994392395019531
49,A/A*,h2,2,3,0.0019598007202148438
49,A/A*,h3,2,3,0.0009975433349609375
49,A/A*,h4,2,13,0.0060160160064697266
49,A/A*,h5,2,3,0.0009696483612060547
